!GO Term	EGF_Baseline	EGF_Stumulus
GO:0048812	1.63	0.36
GO:0030553	-0.90	0.63
GO:0007130	1.50	-0.23
GO:0003713	-0.77	-1.00
GO:0042059	-0.92	1.54
GO:0008270	1.53	-0.28
GO:0008353	0.43	-0.55
GO:0008150	0.01	-0.41
GO:0055114	0.70	0.72
GO:0008270	-0.23	1.06
GO:0006396	0.51	0.79
GO:0016887	1.43	0.57
GO:0003682	1.36	-2.62
GO:0003899	-0.58	1.34
GO:0071013	1.39	-1.11
GO:0017056	0.96	1.37
GO:0048149	0.78	1.40
GO:0008150	1.54	1.69
GO:0048800	-1.30	0.46
GO:0048098	-0.42	0.71
GO:0042254	10.60	-1.61
GO:0048749	1.56	-0.59
GO:0016787	1.00	-0.48
GO:0008150	0.15	0.45
GO:0008150	-0.60	0.26
GO:0048477	-1.04	1.14
GO:0016791	0.96	0.86
GO:0032851	2.31	1.41
GO:0006412	-0.78	0.94
GO:0051124	0.16	1.07
GO:0016311	1.23	0.75
GO:0046872	2.21	-0.82
GO:0018108	0.69	-0.19
GO:0008150	1.61	-0.75
GO:0001075	-0.76	0.79
GO:0043024	-1.84	-0.12
GO:0071013	1.95	0.90
GO:0008270	-0.59	-1.01
GO:0097194	0.20	-0.45
GO:0005875	-1.40	-0.24
GO:0055114	0.86	-0.46
GO:0006508	-0.70	0.24
GO:0055088	1.23	-1.84
GO:0032040	-0.61	0.62
GO:0051310	-1.45	-1.77
GO:0016021	-1.58	-1.63
GO:0051276	0.67	-1.42
GO:0046872	1.48	-0.71
GO:0008152	-0.76	0.76
GO:0016788	0.53	-0.58
GO:0045211	0.77	0.76
GO:0008152	-1.43	0.57
GO:0016021	-0.41	-0.19
GO:0043565	-0.61	0.70
GO:0035335	-0.58	-0.55
GO:0055114	-0.96	-0.65
GO:0016881	1.36	0.50
GO:0008150	-1.82	-0.26
GO:0008150	-1.62	1.63
GO:0031410	-1.37	0.51
GO:0048812	-0.07	0.64
GO:0005515	0.25	2.09
GO:0052689	-1.47	0.53
GO:0048812	0.95	0.58
GO:0008150	0.43	2.38
GO:0045202	-0.16	0.46
GO:0055085	-0.55	0.37
GO:0016772	0.21	1.09
GO:0055114	2.05	-3.48
GO:0071454	0.61	0.82
GO:0016787	-0.87	0.36
GO:0045169	0.87	-0.58
GO:0016476	-1.68	0.41
GO:0055114	-1.73	0.80
GO:0051306	3.85	-4.38
GO:0070073	-2.09	0.59
GO:0008150	-1.15	-1.82
GO:0006508	-0.92	0.58
GO:0008150	0.83	0.41
GO:0048644	0.72	0.04
GO:0016020	0.58	-1.20
GO:0060213	0.31	-0.63
GO:0016787	1.51	0.81
GO:0042048	-1.46	0.36
GO:0055114	-0.75	0.70
GO:0032851	0.48	0.56
GO:0005975	-1.00	0.45
GO:0017153	-1.08	0.86
GO:0042381	-1.64	-1.30
GO:0007031	-0.72	0.57
GO:0051298	1.32	-4.28
GO:0007476	0.55	-1.02
GO:0030127	-0.86	-1.18
GO:0016021	-1.63	0.20
GO:0006098	-0.48	-1.83
GO:0016887	-0.88	0.84
GO:0051537	0.33	0.88
GO:0008150	-1.21	0.26
GO:0045169	1.17	-0.71
GO:0016747	-0.69	-1.49
GO:0001105	-1.53	-0.66
GO:0046665	1.04	-0.98
GO:0030968	-0.79	0.31
GO:0055114	-1.43	0.96
GO:0050911	-0.25	-0.33
GO:0071013	-2.01	2.20
GO:0043231	1.06	-1.84
GO:0055037	-1.06	0.71
GO:0035151	-1.31	-0.66
GO:0046872	0.26	0.55
GO:0055114	-0.88	-0.20
GO:0045211	-1.04	0.02
GO:0031935	0.69	1.08
GO:0017056	-0.49	-0.59
GO:0055114	-1.51	0.59
GO:0016207	-0.98	0.47
GO:0008150	-0.25	0.86
GO:0046331	-2.23	-1.49
GO:0008233	1.13	-2.00
GO:0016021	-0.32	0.08
GO:0008150	-1.20	0.72
GO:0034314	2.43	0.45
GO:0046872	-1.09	0.42
GO:0016311	-1.00	1.05
GO:1900111	0.53	0.93
GO:0051607	0.49	1.07
GO:0010951	0.90	0.94
GO:0012505	-1.15	-0.94
GO:0008150	0.71	-0.89
GO:0046961	-0.39	-1.32
GO:0008150	-0.90	1.05
GO:0008150	-1.05	-0.28
GO:0032259	-0.30	0.47
GO:0042795	1.47	-0.75
GO:0055114	-0.31	0.59
GO:0008270	-0.84	0.41
GO:0061060	0.52	0.50
GO:0000793	0.40	-0.85
GO:0008150	0.78	0.89
GO:0042742	-1.13	-0.70
GO:0005737	0.40	0.34
GO:0043547	0.76	0.53
GO:0008150	1.20	0.63
GO:0016020	-1.76	-1.24
GO:0050911	0.93	0.69
GO:0050829	0.20	0.73
GO:0005852	-0.44	-1.35
GO:0090305	-1.95	-1.52
GO:0030170	-0.66	0.87
GO:0032510	-1.42	-0.93
GO:0071858	-1.13	-0.50
GO:0055114	0.68	0.08
GO:0055114	-0.74	0.35
GO:0008324	0.70	0.86
GO:0008150	0.75	0.59
GO:0008152	0.15	0.22
GO:0006433	0.69	-1.02
GO:0008021	2.36	1.34
GO:0022008	-1.16	0.63
GO:0008150	-0.60	-0.98
GO:0003009	-0.84	-0.55
GO:0055037	0.98	1.23
GO:0048477	1.09	-0.49
GO:0046982	-0.95	-0.71
GO:0006457	0.34	0.73
GO:0008168	0.62	0.80
GO:0016772	-0.70	-0.25
GO:0016321	0.70	0.80
GO:0008152	-0.71	0.92
GO:0022008	2.05	0.52
GO:1902559	-1.51	0.70
GO:0046872	0.21	0.99
GO:0005509	-0.94	0.27
GO:0046331	-0.97	1.03
GO:0009408	-0.33	1.00
GO:0036297	1.54	0.62
GO:0046872	-0.97	-0.61
GO:0035206	-1.21	-1.56
GO:0016747	0.76	1.04
GO:0046427	-2.05	0.54
GO:0006508	0.50	0.67
GO:0005720	1.68	-1.31
GO:0046872	0.96	1.21
GO:0015020	-1.55	0.93
GO:0040003	0.77	1.40
GO:0012505	0.54	1.01
GO:0008270	-1.89	0.54
GO:0032259	-1.49	0.90
GO:0004252	0.49	-1.31
GO:0042623	-2.08	0.33
GO:0040003	1.50	0.70
GO:0008150	-1.17	0.61
GO:0055114	-1.07	1.29
GO:0045211	-0.70	0.52
GO:0008150	0.89	1.85
GO:0008150	-0.68	-0.70
GO:0050905	-0.69	-0.25
GO:1902339	-0.86	0.69
GO:0071482	1.47	1.37
GO:0055114	0.46	0.74
GO:0008150	-0.89	-0.98
GO:0016929	2.13	-0.96
GO:0030036	-0.61	0.60
GO:0050911	-0.68	-0.67
GO:0006508	0.58	0.43
GO:0048066	1.13	0.41
GO:0008150	-1.19	-0.95
GO:0007606	-1.73	0.93
GO:0090503	-0.75	0.51
GO:0016853	0.78	0.70
GO:0030246	0.86	0.64
GO:0008150	1.87	-0.98
GO:0020037	-0.64	-1.55
GO:0008152	-1.14	0.17
GO:0022008	2.89	-2.01
GO:0061077	-1.46	0.41
GO:0046872	1.11	1.67
GO:0016021	-0.86	-0.59
GO:0000502	0.07	-0.53
GO:0055085	1.31	0.15
GO:0004169	0.45	0.86
GO:0042600	-0.46	1.04
GO:0008270	-0.71	0.21
GO:0012505	-1.53	0.15
GO:0051726	-0.89	1.32
GO:0046331	2.15	0.85
GO:0008061	1.86	-0.48
GO:0016311	0.45	-0.75
GO:0055085	-1.40	-0.51
GO:0051298	-0.92	-0.24
GO:0051258	1.75	1.44
GO:0008150	-1.63	-0.25
GO:0046872	-1.16	1.26
GO:0016021	0.34	0.27
GO:0071013	1.68	0.74
GO:0071013	-1.20	-1.53
GO:0008150	-1.02	-0.34
GO:0031637	1.42	-1.46
GO:0050911	0.55	-0.63
GO:0016021	-1.94	-0.78
GO:0005737	-0.59	1.22
GO:0016049	1.12	1.00
GO:0022008	1.66	1.17
GO:0045211	-1.23	1.65
GO:0008150	1.63	-0.42
GO:0030170	-0.67	-0.26
GO:0022008	0.43	0.14
GO:0008150	-0.85	-0.61
GO:0045944	1.50	-0.37
GO:0071011	0.77	1.23
GO:0055114	1.29	-0.51
GO:0007165	-0.50	0.64
GO:0046660	1.00	-0.49
GO:0061357	1.20	-0.14
GO:0042147	0.89	0.67
GO:0018095	-0.52	-0.41
GO:0032456	1.32	1.15
GO:0045944	-1.88	-1.95
GO:0008270	1.21	-1.38
GO:0008150	2.23	0.35
GO:0040003	-1.09	0.47
GO:0015020	-1.04	0.85
GO:0016881	-0.15	-1.10
GO:0050912	-0.86	-1.29
GO:0090063	0.51	-0.46
GO:1902358	-0.57	0.70
GO:0045296	-1.02	0.60
GO:0001104	-0.08	-1.00
GO:0008150	-1.07	-0.60
GO:0006032	1.44	0.23
GO:0061332	0.81	0.74
GO:0008150	-1.00	0.89
GO:1902600	2.11	-1.37
GO:0055114	0.81	1.59
GO:0043086	-1.28	-0.57
GO:0008150	0.89	0.91
GO:0005634	-1.03	0.55
GO:0008152	0.27	0.15
GO:0048149	-1.13	-2.06
GO:0006810	-0.92	0.77
GO:0007317	0.55	0.58
GO:0046872	0.84	-0.17
GO:0030162	0.21	-1.43
GO:0042562	-1.61	-0.22
GO:0043169	1.12	-0.90
GO:0007165	-1.04	-1.72
GO:0055114	1.93	0.19
GO:0046872	-0.20	0.85
GO:0071711	-0.77	0.49
GO:0004252	0.32	-0.54
GO:0017183	0.04	1.47
GO:0055114	-1.52	-0.85
GO:0008150	1.02	0.42
GO:0061357	0.16	0.38
GO:0070374	0.61	-0.51
GO:0071901	0.56	-0.53
GO:0006468	0.66	-0.38
GO:0031012	1.21	1.09
GO:0046872	-1.06	0.15
GO:0016442	-1.57	-1.08
GO:0034715	1.51	0.24
GO:0008150	0.61	0.68
GO:0051168	1.45	1.59
GO:0071616	1.28	-1.53
GO:0016500	-0.88	0.34
GO:0052833	-0.34	0.79
GO:0090163	-0.51	1.39
GO:0004252	-1.63	-0.83
GO:0008150	0.49	1.20
GO:0070831	0.54	0.99
GO:0008380	0.44	-2.15
GO:0042742	0.94	0.72
GO:0035242	0.48	0.18
GO:0051297	-1.21	0.65
GO:0006468	0.50	-0.06
GO:0035293	0.23	0.71
GO:0008150	0.39	0.44
GO:0042384	1.31	1.13
GO:0008150	0.95	-0.47
GO:0003676	0.31	0.20
GO:0003674	1.05	0.44
GO:0005777	-0.64	0.42
GO:0019028	1.74	1.54
GO:0008150	-0.19	-0.40
GO:0043565	-0.83	0.97
GO:0030246	-1.96	-1.37
GO:0046872	-1.36	-1.29
GO:0071859	0.96	0.56
GO:0008150	0.84	0.94
GO:0007476	-1.79	-0.66
GO:0007623	-1.28	0.73
GO:0050912	-1.71	1.71
GO:0008061	-0.94	0.68
GO:2001272	3.08	-2.55
GO:0045571	0.66	1.69
GO:0090204	0.50	-0.84
GO:0055114	-0.50	-0.83
GO:0022008	0.63	-2.00
GO:0055085	-1.14	0.95
GO:0008270	-1.45	0.45
GO:0035556	-0.88	-0.70
GO:0008270	0.32	-1.32
GO:0046570	1.83	-0.26
GO:0046692	0.17	0.53
GO:0035392	0.66	-0.73
GO:0055085	1.10	0.67
GO:0016791	-1.45	-1.69
GO:0008150	1.16	-0.50
GO:0031514	0.98	-0.58
GO:0022008	1.18	-1.42
GO:0032504	0.52	0.13
GO:0048477	-0.79	1.66
GO:0070828	-1.51	1.47
GO:0055114	-1.01	-2.25
GO:0071013	3.17	0.10
GO:0008150	1.75	0.35
GO:0046331	-1.21	-0.76
GO:0070725	0.59	1.36
GO:0016311	1.51	-0.79
GO:1902600	0.57	0.33
GO:0005615	0.35	-0.05
GO:0008150	0.72	0.90
GO:0007606	2.39	-0.94
GO:0050911	-1.39	0.13
GO:0008236	-1.07	0.42
GO:0008150	-1.18	-1.05
GO:0055114	-2.02	0.49
GO:0006396	-1.31	-1.17
GO:0046872	-1.16	-0.94
GO:0051861	0.38	1.37
GO:0005737	-1.70	1.28
GO:0046835	0.28	0.21
GO:0008150	-0.95	-1.24
GO:0055114	-0.50	-0.41
GO:0044341	-1.33	2.02
GO:0006421	-0.53	0.27
GO:0008150	-0.73	-0.50
GO:0042391	-1.36	-0.34
GO:0045475	-2.14	-0.53
GO:0008150	-1.21	0.55
GO:0070544	1.81	0.38
GO:0070652	1.72	-1.16
GO:0072593	1.06	0.31
GO:0008150	0.53	-0.41
GO:0046872	-0.78	1.46
GO:0055114	1.38	0.23
GO:0044020	-2.07	-0.35
GO:0050911	-1.07	-0.73
GO:0016788	-0.09	0.82
GO:0055085	-1.27	1.18
GO:0012505	0.44	-0.84
GO:0004175	-0.94	-1.12
GO:0090305	0.57	-1.39
GO:0008150	-0.82	0.81
GO:0008150	-0.31	0.33
GO:0060857	0.26	0.71
GO:0046939	-0.60	0.78
GO:0016021	-1.00	0.26
GO:0048813	0.34	0.46
GO:0045900	-0.58	1.24
GO:0055085	-1.39	-0.61
GO:0008150	0.97	-0.88
GO:0016021	0.18	0.42
GO:0060271	-0.56	0.29
GO:0060912	0.13	0.60
GO:0060429	0.15	0.32
GO:0009408	-0.38	0.10
GO:0016020	-1.03	0.49
GO:0008173	-2.00	-0.18
GO:0010951	1.28	0.92
GO:0051082	1.02	-0.18
GO:0003682	-1.66	-1.48
GO:0008270	1.04	-0.32
GO:0008150	-0.95	-0.62
GO:0046961	1.36	-1.49
GO:0050911	-0.17	-0.86
GO:0005875	0.92	1.38
GO:0040003	0.57	-0.78
GO:0008150	-0.45	0.82
GO:0090302	1.09	0.53
GO:0055037	0.91	-1.76
GO:0048608	0.33	-0.75
GO:0007476	-0.51	-0.43
GO:0048749	1.15	-4.34
GO:0008150	-1.13	-1.81
GO:0016787	-0.08	1.15
GO:0070469	-0.82	0.80
GO:0016021	2.35	-0.21
GO:0005737	-0.74	1.63
GO:0003729	-1.29	0.54
GO:0048488	-1.04	-1.47
GO:0097190	0.46	0.54
GO:0016201	0.63	-1.65
GO:0055114	-0.77	-0.37
GO:0008242	0.91	0.54
GO:0005737	1.14	-1.25
GO:0008150	-1.64	1.23
GO:0031201	-0.77	-1.87
GO:0071897	-0.30	-0.20
GO:0048812	1.80	1.60
GO:0050911	-0.95	-0.25
GO:0008150	0.53	0.32
GO:0005634	-1.06	0.87
GO:0042775	0.69	0.47
GO:0043138	1.34	-1.02
GO:0022008	-0.59	-1.19
GO:0004175	-1.44	-1.08
GO:0046777	-1.33	-0.91
GO:0055085	1.51	-1.00
GO:0070403	0.55	0.79
GO:0019904	0.47	0.39
GO:0048812	-0.84	0.37
GO:0007606	-1.01	-0.97
GO:0051453	-0.40	0.70
GO:0006508	0.40	-0.56
GO:0008150	-0.58	-1.16
GO:0035335	-1.06	-0.51
GO:0071806	-1.85	0.78
GO:0046872	7.93	-1.02
GO:0045475	0.55	0.14
GO:0045454	1.55	-0.70
GO:0003677	-0.71	0.45
GO:0007606	-1.31	0.53
GO:0055114	0.54	-1.84
GO:0032259	1.69	0.53
GO:0070584	-1.03	0.57
GO:0005829	0.47	-0.60
GO:0006508	-0.34	0.22
GO:0032790	-1.91	-0.94
GO:0006508	0.81	-0.44
GO:0007186	-0.22	-0.41
GO:0055114	0.22	0.53
GO:0070896	-1.64	-0.94
GO:0071013	-0.70	1.43
GO:0048812	1.03	0.83
GO:0055114	-0.69	0.42
GO:0051298	-0.52	0.93
GO:0030497	-0.69	-0.29
GO:0045494	-0.08	0.75
GO:0016787	-1.01	-2.59
GO:0030433	-1.29	1.40
GO:0006782	-0.48	-1.27
GO:0016579	-0.90	1.57
GO:0009298	0.62	-0.49
GO:2000274	-0.70	-0.44
GO:0016021	0.95	0.51
GO:0016020	-1.00	-1.93
GO:0035007	3.30	0.69
GO:0045793	-0.48	-0.27
GO:0055085	-0.95	0.68
GO:0008150	0.84	-1.38
GO:0022008	0.98	-1.04
GO:0043547	-0.63	0.64
GO:0007157	-1.61	1.24
GO:0043695	0.84	1.07
GO:0008270	1.13	-1.02
GO:0008150	-0.46	-0.25
GO:0008150	-1.32	0.82
GO:0006508	-0.50	-1.02
GO:0008150	-1.79	-0.53
GO:0043025	0.27	-2.14
GO:0046331	2.11	-0.62
GO:0045944	-0.85	-0.26
GO:0005525	-0.82	-0.83
GO:0006412	3.33	-3.96
GO:0008150	-0.63	1.05
GO:0001106	1.27	-1.33
GO:0006412	0.31	2.05
GO:0008270	-2.45	1.23
GO:0061343	0.87	0.47
GO:0032504	13.58	-0.59
GO:0016021	0.51	-0.74
GO:0071013	-1.16	1.25
GO:0043547	-0.59	1.05
GO:0046939	-0.44	0.83
GO:0019478	-1.34	-1.81
GO:0042255	2.25	0.80
GO:0016887	-1.19	2.12
GO:0071011	0.66	0.98
GO:0040003	-0.89	0.16
GO:0048149	-1.69	3.06
GO:0055114	0.52	-1.02
GO:0008270	0.26	0.79
GO:0050911	0.49	-0.65
GO:0055114	1.23	-0.60
GO:0052689	-1.49	-1.35
GO:0035091	-0.56	1.18
GO:0016881	1.47	0.54
GO:0042500	-0.34	-0.75
GO:0006749	-0.71	0.40
GO:0043138	-0.94	0.98
GO:0040007	-0.46	0.74
GO:0055114	-0.32	0.28
GO:0008270	1.05	1.21
GO:0032981	-0.44	0.64
GO:0046331	-2.18	-0.32
GO:0046331	-0.28	-0.29
GO:0008654	1.19	-0.60
GO:0006412	-0.98	-1.34
GO:0016881	0.33	-0.76
GO:0031054	-1.04	1.21
GO:0005615	-1.52	0.58
GO:0006749	0.34	0.57
GO:0008270	-2.07	-1.52
GO:0008150	-1.68	0.57
GO:0045886	0.75	-0.65
GO:0034220	-1.98	-1.48
GO:0035613	0.61	1.30
GO:0055114	-0.70	-1.02
GO:0015771	1.92	0.57
GO:0040003	-1.03	0.24
GO:0008150	1.99	-1.24
GO:2000252	-0.97	0.68
GO:0055085	-1.05	1.02
GO:0008150	0.86	-0.94
GO:0055085	0.80	-0.66
GO:0051124	0.61	-0.30
GO:0008150	-1.60	0.40
GO:0043565	-0.49	-0.76
GO:0050911	0.90	-0.48
GO:0050911	0.56	0.77
GO:0008270	1.57	1.14
GO:0030177	1.21	1.00
GO:0008150	-1.04	1.04
GO:1902459	-0.35	1.22
GO:0040003	0.67	0.28
GO:0032504	0.33	1.00
GO:0048666	-1.33	0.99
GO:0046872	-0.51	0.52
GO:0006685	-0.64	-1.27
GO:0045751	-0.53	0.77
GO:0055114	0.84	0.27
GO:0055085	0.71	1.60
GO:0009972	-0.97	0.85
GO:0005975	-0.96	0.85
GO:0048477	-0.28	-0.08
GO:0045475	1.50	1.13
GO:0009306	1.55	-0.61
GO:0050829	-0.26	0.77
GO:0052736	0.60	0.55
GO:0035220	1.02	-0.44
GO:0051276	0.96	1.27
GO:0061343	-0.61	0.55
GO:0008150	0.85	0.80
GO:0006511	-0.53	0.39
GO:0015464	0.68	0.93
GO:0006749	-1.75	-1.57
GO:0004867	-0.78	0.21
GO:0022008	-1.41	-1.82
GO:0008150	0.82	0.14
GO:0035556	-1.46	0.90
GO:0008150	-1.71	-1.21
GO:0008150	-1.42	-1.10
GO:1902600	-1.04	0.50
GO:0035284	-1.82	1.15
GO:0006508	-0.11	0.68
GO:0050829	-0.92	0.22
GO:0051082	-0.78	-0.49
GO:0046976	0.94	0.28
GO:0048149	9.91031984367451e-03	-0.19
GO:0006094	-0.77	0.31
GO:0048477	0.80	1.70
GO:0035220	0.59	-0.15
GO:0016787	0.43	-0.54
GO:0035145	1.00	0.78
GO:1901642	-1.13	0.27
GO:0006412	-0.37	0.28
GO:0071110	-0.47	0.99
GO:0048477	0.86	1.16
GO:2000303	1.59	-0.47
GO:0055085	0.34	-1.10
GO:0071806	0.46	-1.73
GO:0050790	-0.69	1.63
GO:0008061	-0.62	-0.73
GO:0006508	-0.62	-0.40
GO:0042274	5.08	-3.27
GO:0005576	-0.41	0.55
GO:0043695	-0.99	-0.26
GO:0031966	0.50	1.47
GO:0016021	1.57	-0.22
GO:0022008	0.70	0.49
GO:0048227	-0.92	-1.09
GO:0005634	-0.91	-0.75
GO:0008150	0.92	1.00
GO:0055085	1.54	0.71
GO:0030246	-0.09	0.63
GO:0008150	-1.35	-0.61
GO:0016787	-0.50	-1.88
GO:0040003	-1.38	0.54
GO:0032027	0.87	0.70
GO:0016021	0.23	-0.51
GO:0048149	0.68	-0.15
GO:0004252	-0.70	-0.42
GO:0046961	-1.11	-0.40
GO:1901605	1.26	0.40
GO:0055114	1.26	-1.22
GO:0008152	0.86	-0.45
GO:0071013	0.46	1.22
GO:0008150	0.60	-0.51
GO:0051603	-1.42	0.08
GO:0008150	1.29	1.19
GO:0045177	1.19	0.75
GO:0070050	-0.80	-0.92
GO:0030915	-0.87	-0.42
GO:0046867	-1.51	-1.05
GO:0042600	-0.58	-0.22
GO:0009631	-0.15	-1.44
GO:0071013	1.77	2.51
GO:0008061	-0.30	0.25
GO:0005811	-0.95	-0.45
GO:0046331	-0.61	0.26
GO:0022008	-0.85	-1.10
GO:0060429	-1.07	-4.62
GO:0032259	-1.99	-0.59
GO:0035324	1.97	0.69
GO:0045211	-1.24	-0.75
GO:0055085	-1.18	-0.52
GO:0045454	0.66	-0.79
GO:0045793	0.18	-0.19
GO:0005515	-1.04	0.93
GO:0030145	-1.29	-0.23
GO:0001056	-0.96	-0.19
GO:0033314	0.17	1.61
GO:0046982	-1.41	-2.39
GO:0090303	-1.87	-1.12
GO:0035092	-0.39	1.44
GO:0008150	-1.53	-1.47
GO:0090307	1.00	-2.52
GO:0022008	-0.26	-1.12
GO:0008270	1.33	1.47
GO:0048749	-0.55	0.45
GO:0016772	-0.96	0.49
GO:0055114	-0.81	1.30
GO:0022008	1.08	0.60
GO:0046872	2.05	-5.64
GO:0055114	-1.84	2.58
GO:0006749	1.64	-0.56
GO:0035331	-0.47	0.92
GO:0030014	0.24	0.88
GO:0022904	-1.06	0.24
GO:0032504	0.25	0.58
GO:0046854	-0.36	0.68
GO:0036126	-0.95	-0.21
GO:0032510	-0.49	1.37
GO:0000981	0.96	1.01
GO:0050839	-1.92	-0.73
GO:0071805	0.86	-0.03
GO:0046693	0.79	-1.18
GO:0006412	-0.88	1.31
GO:0032509	-1.52	-0.87
GO:0008150	-0.61	-1.19
GO:0008150	0.94	-0.54
GO:0048813	0.71	-1.65
GO:0016021	-0.67	0.45
GO:0046872	-0.38	0.57
GO:0040003	1.40	1.21
GO:0045893	1.58	-0.39
GO:0016021	-1.14	0.84
GO:0003674	0.27	1.04
GO:0008150	1.05	-0.99
GO:0045861	0.82	0.52
GO:0051257	-0.23	1.09
GO:0032855	-1.03	0.55
GO:0006508	-0.42	-0.56
GO:0008150	-0.61	-1.26
GO:0003729	-1.25	0.05
GO:0008061	0.41	-0.37
GO:0045886	-0.83	0.59
GO:0043565	1.44	-0.90
GO:0050912	0.85	1.15
GO:0090307	0.88	-0.64
GO:0046983	3.79	3.09
GO:0048477	-0.74	0.74
GO:0016021	1.30	-1.31
GO:0046854	-2.01	-1.36
GO:0008150	1.14	1.11
GO:0016559	-1.05	0.51
GO:0008150	-0.71	0.57
GO:0016787	-1.18	0.43
GO:0035556	-1.62	0.69
GO:0043547	0.64	1.06
GO:0008150	-1.76	-0.83
GO:0001056	0.70	-0.27
GO:0010951	0.33	0.53
GO:0046982	-0.48	2.03
GO:0016772	-1.23	-0.34
GO:0034472	-0.70	0.77
GO:0046716	-2.44	-3.10
GO:0055114	-0.69	0.84
GO:0006810	2.21	1.69
GO:0042331	1.84	-1.00
GO:0005622	-0.60	-0.06
GO:0030955	-1.27	-0.46
GO:0008270	-1.77	-0.84
GO:0036459	0.40	-0.74
GO:0055114	-1.02	-0.19
GO:0016740	1.17	0.62
GO:0050290	0.62	-2.13
GO:0060857	-0.25	1.29
GO:0008270	0.65	0.43
GO:0032851	-1.20	0.38
GO:0016020	-0.90	-0.61
GO:0055114	1.24	0.58
GO:0015986	-1.15	-1.81
GO:0019898	-1.21	-0.66
GO:0071806	-0.85	0.20
GO:0008150	-0.66	-0.70
GO:0032259	-0.41	0.76
GO:0016747	-0.37	0.34
GO:0040003	-1.26	-0.23
GO:0008150	0.37	1.04
GO:0070969	-2.15	-0.44
GO:0030170	-0.62	0.97
GO:0016021	1.25	-0.89
GO:0060180	-0.58	0.48
GO:0000062	0.28	0.53
GO:0022008	1.30	-0.95
GO:0071390	-0.91	-0.13
GO:0005813	0.61	-1.03
GO:0016021	0.09	1.51
GO:0046167	-1.35	-0.30
GO:0090305	-0.24	0.32
GO:0034483	-1.00	0.25
GO:0006413	-0.66	-1.91
GO:0016311	-1.50	-1.77
GO:0006508	0.75	1.75
GO:0050750	-0.39	0.63
GO:0016787	1.03	-1.71
GO:0009116	-1.12	-1.19
GO:0090307	1.03	0.06
GO:0035725	-0.65	0.95
GO:0070374	0.09	0.33
GO:0006281	-1.42	0.79
GO:0046983	-0.73	0.76
GO:0055114	-0.77	-0.61
GO:0008150	-1.32	-0.31
GO:0005634	1.23	-1.22
GO:0097001	0.41	0.39
GO:0055037	0.52	0.62
GO:0016887	-0.57	1.74
GO:0008150	-1.49	0.52
GO:0031941	-0.33	-1.08
GO:0055114	0.80	-0.75
GO:0051017	-0.63	-0.26
GO:0008150	1.57	0.81
GO:0009408	-1.40	-1.37
GO:0055114	1.09	1.73
GO:0035556	-1.64	0.84
GO:0008150	0.92	0.53
GO:0035101	0.72	1.30
GO:0071805	0.42	0.50
GO:0046331	0.82	1.12
GO:0050829	-0.67	1.27
GO:0008150	-0.66	1.23
GO:0042555	-0.72	-0.07
GO:0055114	-0.53	-1.40
GO:0070588	1.67	0.82
GO:0046872	-0.39	0.39
GO:0055059	-0.88	0.38
GO:0045211	-0.39	0.30
GO:0035859	-1.71	-0.46
GO:0071013	-0.83	0.43
GO:0046872	-2.02	1.23
GO:0042623	-0.83	-1.56
GO:0006334	-0.86	-0.13
GO:0055085	-1.60	0.80
GO:0008150	0.30	0.34
GO:0046872	-0.87	0.80
GO:0006810	0.91	0.75
GO:0016021	-2.00	-0.58
GO:0006508	-0.72	1.62
GO:0005874	1.81	-0.22
GO:0035556	-1.49	0.88
GO:0090307	-0.74	-0.43
GO:0043565	0.27	0.55
GO:0016788	0.88	0.96
GO:0045202	0.64	0.41
GO:0046854	1.51	1.02
GO:0048477	0.67	-0.90
GO:0048842	-0.61	0.75
GO:0008270	-0.36	-1.49
GO:0016021	-0.45	0.59
GO:0006909	-1.07	-0.47
GO:0019730	-1.16	-0.56
GO:0043565	-0.86	0.59
GO:0008593	-0.51	1.27
GO:0040003	0.85	-1.02
GO:0042594	-1.46	-0.49
GO:0009116	3.87	-0.28
GO:0070374	0.98	0.31
GO:0000166	3.00	0.54
GO:0035335	3.40	0.66
GO:0071934	0.33	1.07
GO:0071013	-0.26	1.15
GO:0008150	-1.04	-1.25
GO:0006265	-0.76	-1.02
GO:0007218	-0.85	-1.76
GO:0050911	-0.14	1.20
GO:0046331	0.82	-0.87
GO:0016034	-1.91	1.73
GO:0005737	-0.21	0.84
GO:0000049	-1.09	0.42
GO:0006635	0.64	-0.77
GO:0090141	-0.36	0.12
GO:0016787	0.65	-2.28
GO:0033842	-1.33	-0.46
GO:0048067	-1.11	-0.53
GO:0008150	0.28	0.56
GO:0050896	1.06	-1.18
GO:0006508	-1.13	0.85
GO:0008152	-0.20	0.55
GO:0008150	0.59	-0.78
GO:0008150	0.80	0.84
GO:1902476	-0.86	0.79
GO:0008270	1.29	-0.77
GO:0050911	0.27	0.72
GO:0005730	-1.44	1.94
GO:0006749	-0.82	-1.99
GO:0090099	-1.32	-0.45
GO:0035324	1.14	0.53
GO:0016021	1.04	0.85
GO:0019388	0.76	0.05
GO:0008654	-1.64	-0.95
GO:0005794	2.01	0.65
GO:0004402	-3.06	-4.38
GO:0051297	-0.91	-1.01
GO:0016020	0.78	1.45
GO:0009116	-1.02	-0.34
GO:0048488	1.27	1.33
GO:0031982	-0.54	1.19
GO:0016787	-0.67	-0.42
GO:0016758	-0.58	-0.40
GO:0090305	-1.45	0.69
GO:0046901	-2.15	1.14
