!GO Term	EGF_Baseline	EGF_Stumulus
GO:1902476	-0.75	-0.74
GO:0055085	-0.63	-0.45
GO:0051536	-1.70	0.71
GO:0008270	-1.62	0.82
GO:0046961	1.94	-1.47
GO:0030246	-1.16	-0.50
GO:0032504	-1.36	-0.19
GO:0046872	0.19	-0.11
GO:0048749	0.51	-0.18
GO:0071577	-1.49	0.97
GO:0055085	-0.77	0.46
GO:0035556	2.00	1.41
GO:0008150	-1.31	0.80
GO:0006412	-0.37	0.59
GO:0006241	-1.40	0.15
GO:0008289	-0.97	-0.85
GO:0070588	0.70	-1.05
GO:0006508	1.60	0.84
GO:0004175	-1.09	-4.37
GO:0016772	0.15	-0.05
GO:0022008	-1.56	-0.43
GO:0005524	-1.34	-1.40
GO:0048102	1.43	1.68
GO:0046331	0.48	-0.28
GO:0031012	-1.01	1.67
GO:0070877	-1.72	1.22
GO:0051082	-0.32	0.36
GO:0035018	-2.72	-2.09
GO:0055114	-1.65	-0.79
GO:0008150	0.51	-0.86
GO:0007606	0.21	1.82
GO:0006412	-0.21	0.29
GO:0016021	1.19	-0.76
GO:0055114	-0.96	-0.97
GO:0008033	-0.95	-0.45
GO:0008150	0.84	0.67
GO:0051301	0.51	0.44
GO:0035556	-1.25	-0.88
GO:0042742	-1.50	-0.51
GO:0006468	-1.32	0.05
GO:0016055	0.34	-0.38
GO:0005509	0.24	-1.06
GO:0008150	-1.33	0.37
GO:0044325	-1.08	-0.63
GO:0090263	-1.67	-1.10
GO:0008150	-1.24	1.40
GO:0008150	1.65	1.08
GO:0031989	1.12	3.48
GO:0046872	-1.91	0.12
GO:0048531	1.22	0.66
GO:0008152	-1.50	2.03
GO:0045211	-1.04	0.67
GO:0033971	-1.12	-0.34
GO:0008150	0.89	0.50
GO:0045747	-0.12	0.26
GO:0015020	0.89	0.21
GO:0071329	1.32	0.91
GO:0098655	-0.44	1.27
GO:0052689	-1.70	0.94
GO:0080130	-1.49	0.52
GO:0006468	-1.79	0.53
GO:0019784	-0.27	-0.48
GO:0046835	-0.85	0.24
GO:1902600	0.44	0.67
GO:0004175	2.58	-3.36
GO:0048471	0.58	0.19
GO:0016310	1.09	0.17
GO:0008150	-1.76	-0.58
GO:0048813	-2.40	-1.65
GO:0046331	-0.92	-0.46
GO:0008084	0.66	0.74
GO:0055114	0.35	0.75
GO:0035725	2.79	0.74
GO:0050848	-0.86	-1.25
GO:0017176	-0.63	0.59
GO:0042332	0.85	1.18
GO:0016929	0.32	-0.38
GO:0030833	0.96	-0.93
GO:0042063	-0.04	-1.09
GO:0045861	-0.90	-1.34
GO:0048137	0.34	0.84
GO:0006412	-0.53	-0.74
GO:0016757	-1.29	-1.08
GO:0005615	-1.07	0.79
GO:0008150	1.41	0.37
GO:0006334	0.95	-1.04
GO:0090281	2.07	-0.83
GO:0008150	-1.45	0.54
GO:0036401	0.62	1.14
GO:0070374	-0.49	-4.11
GO:0030510	0.97	0.65
GO:0090305	0.56	0.71
GO:0042765	0.70	0.95
GO:0090254	-0.20	0.87
GO:0070584	-1.26	0.89
GO:0051306	2.59	-3.39
GO:0048102	-0.12	-1.85
GO:0008150	-0.50	-0.29
GO:0022008	0.64	-2.16
GO:0008061	-0.57	0.23
GO:0008270	-0.51	0.54
GO:0035725	0.73	-1.06
GO:0008150	0.51	0.21
GO:0016020	-1.40	0.51
GO:0055085	1.84	-1.03
GO:0032259	0.82	0.72
GO:0008150	-1.04	-0.92
GO:0016021	1.55	-0.28
GO:0016021	-0.57	-0.79
GO:0008150	0.87	0.75
GO:0007498	1.25	-1.19
GO:0016021	-1.62	-0.93
GO:0019674	0.71	-0.34
GO:0001075	-1.85	-0.36
GO:0043565	-0.78	1.46
GO:0031647	-0.60	-0.14
GO:0055114	1.57	-0.49
GO:0044205	-2.30	-1.79
GO:0004402	-1.01	-4.09
GO:0045292	0.37	1.37
GO:0045087	-1.06	0.15
GO:0097193	-1.97	0.58
GO:0046872	-1.56	-0.45
GO:0046982	-0.17	-1.08
GO:0048039	-0.28	0.41
GO:0050907	1.10	0.53
GO:0008270	-0.84	-2.11
GO:0008150	-1.58	-1.44
GO:0032504	-0.30	-0.73
GO:0055114	-0.96	0.37
GO:0051082	-0.25	-1.20
GO:0055114	0.64	0.49
GO:0006508	1.21	0.49
GO:0005372	-1.28	-1.32
GO:0008061	0.70	-0.15
GO:0046934	-0.09	-0.76
GO:0043025	1.00	-0.82
GO:0008150	-1.35	-1.33
GO:0055059	1.07	-3.96
GO:0051715	-0.59	1.37
GO:0008270	-0.48	0.13
GO:0071326	-1.55	0.70
GO:0046872	0.85	-0.56
GO:0006508	0.41	-0.20
GO:0048812	1.28	0.30
GO:0032436	-1.28	-2.65
GO:0022008	3.19	-1.04
GO:0001056	1.47	-0.99
GO:0008150	0.09	-0.63
GO:0070469	-2.85	0.37
GO:0006508	-1.56	0.47
GO:0008284	0.04	1.24
GO:0051438	1.20	-0.50
GO:0016887	-0.30	-0.32
GO:0055085	1.14	0.48
GO:0008270	1.30	0.93
GO:0005509	-1.31	-1.05
GO:0008150	1.20	0.43
GO:0051298	2.16	-1.37
GO:0006508	7.47	-0.44
GO:0046872	-0.38	0.68
